order_id,Date,Timestamp,placement,target_group,IP,time_difference_second,conv_time,category,source,state,vendor,type,creative_name_clean,device,language,audience,time_difference_min,time_difference_day,month,Right_time_difference_day,attribution_rate,Right_attribution_rate
849,11/26/2019,11/26/2019 2:48:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_ANDROIDINMARKET_ENG1X1,U?,107.77.200.123,4146,2019-11-26 02:48:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Android English InMarket,Android,English,InMarket,70,1,11,,,0.693694331516654
850,11/21/2019,11/21/2019 19:05:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPBELOW40_ENG1X1,U?,70.118.70.146,4159,2019-11-21 19:05:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop English Below40,Desktop,English,Below40,70,1,11,,,0.692920025341053
851,12/10/2019,12/10/2019 1:52:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSBELOW40_ENG1X1,U?,172.58.109.155,4162,2019-12-10 01:52:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English Below40,iOS,English,Below40,70,1,12,,,0.692741462074465
852,12/14/2019,12/14/2019 4:46:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSINMARKET_ENG1X1,U?,172.58.99.237,4166,2019-12-14 04:46:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,70,1,12,,,0.692503449296136
853,11/25/2019,11/25/2019 15:40:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSINMARKET_ENG1X1,U?,107.77.196.167,4184,2019-11-25 15:40:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS English InMarket,iOS,English,InMarket,70,1,11,,,0.691433403374252
854,12/10/2019,12/10/2019 1:23:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPBELOW40_ENG1X1,U?,12.50.9.252,4187,2019-12-10 01:23:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop English Below40,Desktop,English,Below40,70,1,12,,,0.691255223205374
855,11/27/2019,11/27/2019 4:09:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSHBELOW40_SPA1X1,U?,172.58.108.47,4190,2019-11-27 04:09:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS Spanish Below40,iOS,Spanish,Below40,70,1,11,,,0.691077088952954
856,11/22/2019,11/22/2019 23:46:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPHINMARKET_SPA1X1,U?,172.58.99.27,4203,2019-11-22 23:46:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop Spanish InMarket,Desktop,Spanish,InMarket,71,1,11,,,0.690305704160717
857,11/21/2019,11/21/2019 23:36:00,MOLINAMARKETPLACE_WA_AUDIOLOGY_AUDIO_ANDROIDGMINMARKET_ENG1X1,U?,107.77.205.123,4208,2019-11-21 23:36:00,Marketplace,Streaming Audio,Washington,Audiology,Audio,Android English InMarket,Android,English,InMarket,71,1,11,,,0.690009247021635
858,11/12/2019,11/12/2019 15:40:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_DESKTOPHINMARKET_SPA1X1,U?,192.55.241.100,4214,2019-11-12 15:40:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,Desktop Spanish InMarket,Desktop,Spanish,InMarket,71,1,11,,,0.689653666506805
859,11/14/2019,11/14/2019 9:11:00,MOLINAMARKETPLACE_TX_AUDIOLOGY_AUDIO_IOSHINMARKET_SPA1X1,U?,107.77.169.9,4226,2019-11-14 09:11:00,Marketplace,Streaming Audio,Texas,Audiology,Audio,iOS Spanish InMarket,iOS,Spanish,InMarket,71,1,11,,,0.68894305510362
